tenor,years,yield
1M,0.083,0.0435
3M,0.25,0.0430
6M,0.5,0.0425
1Y,1.0,0.0415
2Y,2.0,0.0400
3Y,3.0,0.0395
5Y,5.0,0.0398
7Y,7.0,0.0405
10Y,10.0,0.0415
20Y,20.0,0.0445
30Y,30.0,0.0440
